away_team,away_score,home_team,home_score
Cincinnati Reds,13,Houston Astros,9
Boston Red Sox,10,Kansas City Royals,1
Miami Marlins,3,Chicago White Sox,1
Chicago Cubs,6,New York Mets,5
San Francisco Giants,1,Minnesota Twins,2
Los Angeles Dodgers,0,Arizona Diamondbacks,3
San Diego Padres,21,Colorado Rockies,0
Baltimore Orioles,2,Los Angeles Angels,5
Toronto Blue Jays,6,Seattle Mariners,3
Chicago Cubs,2,New York Mets,6
St. Louis Cardinals,6,Washington Nationals,1
Atlanta Braves,3,Pittsburgh Pirates,4
Texas Rangers,6,Detroit Tigers,1
Milwaukee Brewers,4,Tampa Bay Rays,2
Cincinnati Reds,0,Houston Astros,6
Boston Red Sox,3,Kansas City Royals,1
San Francisco Giants,6,Minnesota Twins,7
Miami Marlins,2,Chicago White Sox,4
San Diego Padres,3,Colorado Rockies,9
New York Yankees,12,Athletics,2
